# zpt magsys  filter mjd  mag magerr flux fluxerr
25.0  AB  bessellux 53857.457 17.008 0.039 1573.258 56.512
25.0  AB  bessellux 53857.461 17.016 0.039 1561.709 56.097
25.0  AB  bessellux 53858.249 17.033 0.042 1537.446 59.473
25.0  AB  bessellux 53858.252 16.996 0.039 1590.743 57.140
25.0  AB  bessellux 53859.261 17.118 0.044 1421.674 57.614
25.0  AB  bessellux 53859.265 17.084 0.041 1466.898 55.393
25.0  AB  bessellux 53860.252 17.148 0.05 1382.929 63.686
25.0  AB  bessellux 53860.255 17.188 0.048 1332.907 58.927
25.0  AB  bessellux 53861.453 17.238 0.043 1272.917 50.413
25.0  AB  bessellux 53861.457 17.229 0.042 1283.512 49.650
25.0  AB  bessellux 53862.386 17.369 0.041 1128.236 42.605
25.0  AB  bessellux 53862.39 17.335 0.043 1164.126 46.104
25.0  AB  bessellux 53874.417 18.922 0.153 269.898 38.033
25.0  AB  bessellux 53874.421 18.663 0.136 342.610 42.915
25.0  AB  bessellux 53879.441 19.039 0.114 242.326 25.444
25.0  AB  bessellux 53879.444 19.197 0.151 209.508 29.137
25.0  AB  bessellux 53886.39 20.173 0.278 85.271 21.833
25.0  AB  bessellux 53890.389 20.364 0.466 71.515 30.694
25.0  AB  bessellb 53854.336 17.187 0.018 1334.136 22.118
25.0  AB  bessellb 53855.384 17.158 0.02 1370.251 25.241
25.0  AB  bessellb 53856.383 17.145 0.017 1386.756 21.713
25.0  AB  bessellb 53857.454 17.145 0.019 1386.756 24.268
25.0  AB  bessellb 53858.256 17.148 0.018 1382.929 22.927
25.0  AB  bessellb 53859.269 17.175 0.019 1348.963 23.606
25.0  AB  bessellb 53860.259 17.214 0.02 1301.368 23.972
25.0  AB  bessellb 53861.45 17.301 0.019 1201.158 21.020
25.0  AB  bessellb 53862.393 17.32 0.018 1180.321 19.568
25.0  AB  bessellb 53863.245 17.395 0.03 1101.539 30.437
25.0  AB  bessellb 53866.397 17.596 0.03 915.377 25.293
25.0  AB  bessellb 53867.336 17.752 0.064 792.866 46.736
25.0  AB  bessellb 53874.414 18.476 0.042 407.005 15.744
25.0  AB  bessellb 53879.438 18.976 0.042 256.803 9.934
25.0  AB  bessellb 53886.387 19.42 0.049 170.608 7.700
25.0  AB  bessellb 53890.386 19.674 0.065 135.021 8.083
25.0  AB  bessellb 53891.348 19.699 0.085 131.947 10.330
25.0  AB  bessellb 53894.398 20.108 0.158 90.532 13.174
25.0  AB  bessellb 53899.333 20.16 0.398 86.298 31.634
25.0  AB  bessellb 53907.346 20.188 0.071 84.101 5.500
25.0  AB  bessellb 53928.278 20.454 0.492 65.826 29.829
25.0  AB  bessellb 53929.312 20.347 0.487 72.644 32.584
25.0  AB  bessellv 53854.334 17.046 0.016 1519.148 22.387
25.0  AB  bessellv 53855.378 16.993 0.016 1595.144 23.507
25.0  AB  bessellv 53856.377 16.963 0.013 1639.834 19.634
25.0  AB  bessellv 53857.448 16.952 0.017 1656.533 25.937
25.0  AB  bessellv 53858.246 16.95 0.017 1659.587 25.985
25.0  AB  bessellv 53859.259 16.943 0.016 1670.321 24.615
25.0  AB  bessellv 53860.249 16.933 0.018 1685.777 27.948
25.0  AB  bessellv 53861.445 16.934 0.017 1684.225 26.371
25.0  AB  bessellv 53862.384 16.97 0.017 1629.296 25.511
25.0  AB  bessellv 53863.235 16.988 0.02 1602.507 29.519
25.0  AB  bessellv 53866.387 17.152 0.024 1377.844 30.457
25.0  AB  bessellv 53867.327 17.153 0.033 1376.575 41.840
25.0  AB  bessellv 53874.412 17.535 0.024 968.278 21.404
25.0  AB  bessellv 53879.435 17.84 0.023 731.139 15.488
25.0  AB  bessellv 53886.384 18.328 0.027 466.445 11.599
25.0  AB  bessellv 53890.384 18.523 0.038 389.762 13.641
25.0  AB  bessellv 53891.345 18.556 0.038 378.094 13.233
25.0  AB  bessellv 53894.395 18.697 0.063 332.047 19.267
25.0  AB  bessellv 53899.33 18.878 0.206 281.061 53.326
25.0  AB  bessellv 53907.343 18.96 0.036 260.615 8.641
25.0  AB  bessellv 53928.275 19.337 0.15 184.162 25.443
25.0  AB  sdssr 53855.38 17.045 0.016 1520.548 22.408
25.0  AB  sdssr 53856.379 17.027 0.016 1545.966 22.782
25.0  AB  sdssr 53857.451 16.997 0.018 1589.278 26.348
25.0  AB  sdssr 53858.243 16.977 0.017 1618.825 25.347
25.0  AB  sdssr 53859.256 16.965 0.017 1636.817 25.628
25.0  AB  sdssr 53860.246 16.967 0.018 1633.804 27.086
25.0  AB  sdssr 53861.447 16.965 0.018 1636.817 27.136
25.0  AB  sdssr 53862.38 16.983 0.017 1609.904 25.207
25.0  AB  sdssr 53863.232 16.999 0.021 1586.354 30.683
25.0  AB  sdssr 53866.384 17.077 0.023 1476.386 31.275
25.0  AB  sdssr 53867.323 17.087 0.028 1462.851 37.725
25.0  AB  sdssr 53874.41 17.396 0.022 1100.525 22.300
25.0  AB  sdssr 53879.434 17.567 0.021 940.156 18.184
25.0  AB  sdssr 53886.383 17.922 0.021 677.954 13.113
25.0  AB  sdssr 53890.382 18.141 0.024 554.115 12.249
25.0  AB  sdssr 53891.343 18.178 0.027 535.550 13.318
25.0  AB  sdssr 53894.393 18.311 0.039 473.805 17.019
25.0  AB  sdssr 53899.328 18.643 0.129 348.980 41.463
25.0  AB  sdssr 53907.34 18.726 0.024 323.296 7.146
25.0  AB  sdssr 53928.273 19.381 0.106 176.848 17.266
25.0  AB  sdssr 53929.306 19.297 0.125 191.073 21.998
25.0  AB  sdssi 53855.382 17.295 0.019 1207.814 21.136
25.0  AB  sdssi 53856.381 17.285 0.019 1218.990 21.332
25.0  AB  sdssi 53857.452 17.267 0.027 1239.367 30.820
25.0  AB  sdssi 53858.245 17.284 0.027 1220.113 30.342
25.0  AB  sdssi 53859.257 17.327 0.025 1172.735 27.003
25.0  AB  sdssi 53860.248 17.296 0.024 1206.702 26.674
25.0  AB  sdssi 53861.449 17.297 0.02 1205.591 22.208
25.0  AB  sdssi 53862.382 17.317 0.021 1183.586 22.892
25.0  AB  sdssi 53863.233 17.315 0.024 1185.769 26.211
25.0  AB  sdssi 53866.386 17.367 0.029 1130.316 30.191
25.0  AB  sdssi 53867.325 17.473 0.035 1025.180 33.048
25.0  AB  sdssi 53874.388 17.616 0.027 898.669 22.348
25.0  AB  sdssi 53874.409 17.627 0.023 889.611 18.845
25.0  AB  sdssi 53879.432 17.605 0.019 907.821 15.886
25.0  AB  sdssi 53886.381 17.814 0.024 748.859 16.553
25.0  AB  sdssi 53890.38 18.001 0.032 630.376 18.579
25.0  AB  sdssi 53891.34 18.068 0.03 592.652 16.376
25.0  AB  sdssi 53894.391 18.27 0.041 492.040 18.581
25.0  AB  sdssi 53899.327 18.564 0.077 375.319 26.617
25.0  AB  sdssi 53907.339 18.624 0.036 355.140 11.775
25.0  AB  sdssi 53928.271 19.103 0.102 228.455 21.462
