#      mjd  filter         flux            fluxerr   trest     mag  magerr    zpt  magsys 
 56833.141  bessellb  9.27088e+18  2.48352812194e+17   8.026  16.622   0.029  64.04      AB 
  56841.82  bessellb  6.88351e+18  2.17545803201e+17  11.767  16.945   0.034  64.04      AB 
 56850.059  bessellb  4.49473e+18  1.98018291257e+17  15.319  17.408   0.048  64.04      AB 
 56860.621  bessellb  3.01154e+18  1.44297391304e+17  19.871  17.843   0.052  64.04      AB 
 56886.629  bessellb  1.29015e+18  1.32663239075e+17  31.082  18.763   0.112  64.04      AB 
 56891.672  bessellb  1.02782e+18   3.1653609476e+17  33.254  19.010   0.334  64.04      AB 
 56893.199  bessellb  7.53001e+17  2.33823710081e+17  33.914  19.348   0.337  64.04      AB 
 56817.078  bessellv  1.16911e+19  2.20008564586e+17   1.103  16.370   0.020  64.04      AB 
 56833.148  bessellv   1.1102e+19  2.87740820734e+17   8.030  16.426   0.028  64.04      AB 
 56841.828  bessellv   8.6682e+18    2.619687061e+17  11.772  16.695   0.033  64.04      AB 
  56850.07  bessellv  6.16271e+18    2.468094838e+17  15.323  17.066   0.043  64.04      AB 
 56792.988 bessellux  1.08509e+19   4.7846488189e+17  -9.280  16.451   0.048  64.04      AB 
 56797.109 bessellux  1.34167e+19  5.33396137097e+17  -7.504  16.221   0.043  64.04      AB 
 56798.949 bessellux  1.57015e+19  6.00127301351e+17  -6.711  16.050   0.041  64.04      AB 
 56800.102 bessellux  1.51516e+19  5.85357656722e+17  -6.216  16.089   0.042  64.04      AB 
 56801.891 bessellux  1.58388e+19  5.78660384123e+17  -5.444  16.041   0.040  64.04      AB 
 56802.949 bessellux  1.71141e+19  6.20061498647e+17  -4.987  15.957   0.039  64.04      AB 
  56803.93 bessellux  1.68801e+19  6.04704325033e+17  -4.565  15.972   0.039  64.04      AB 
 56804.078 bessellux  1.79494e+19  6.68963372918e+17  -4.500  15.905   0.040  64.04      AB 
 56812.078 bessellux  1.90053e+19  9.80510296077e+17  -1.052  15.843   0.056  64.04      AB 
  56815.93 bessellux  1.56767e+19  1.07643204038e+18   0.608  16.052   0.075  64.04      AB 
  56820.07 bessellux  1.45117e+19  5.66048952514e+17   2.392  16.136   0.042  64.04      AB 
 56821.871 bessellux  1.43928e+19   5.6396277551e+17   3.168  16.145   0.043  64.04      AB 
 56823.789 bessellux  1.25926e+19  5.10400212703e+17   3.996  16.290   0.044  64.04      AB 
 56824.988 bessellux  1.29451e+19  5.21188731417e+17   4.513  16.260   0.044  64.04      AB 
 56828.699 bessellux  1.28935e+19  5.22740306875e+17   6.112  16.264   0.044  64.04      AB 
 56830.891 bessellux  1.15082e+19  4.82443838169e+17   7.056  16.387   0.046  64.04      AB 
 56833.879 bessellux  1.12748e+19  4.42450252078e+17   8.345  16.410   0.043  64.04      AB 
  56839.32 bessellux  7.64159e+18  5.18859096696e+17  10.690  16.832   0.074  64.04      AB 
 56839.379 bessellux  7.43279e+18  4.91194351621e+17  10.716  16.862   0.072  64.04      AB 
 56839.449 bessellux  9.53579e+18  5.46977178968e+17  10.746  16.592   0.062  64.04      AB 
  56839.52 bessellux  7.03957e+18   4.9073739708e+17  10.776  16.921   0.076  64.04      AB 
  56839.52 bessellux  7.66787e+18  3.80224958678e+17  10.776  16.828   0.054  64.04      AB 
 56817.059  sdssr    1.095e+19  4.18941082927e+17   1.095  16.441   0.042  64.04      AB 
  56817.09  sdssr  1.10897e+19  4.23217560578e+17   1.108  16.428   0.041  64.04      AB 
 56833.211  sdssr  8.81225e+18  4.10845575299e+17   8.056  16.677   0.051  64.04      AB 
  56841.84  sdssr  6.86733e+18  3.96198714957e+17  11.776  16.948   0.063  64.04      AB 
 56850.078  sdssr  5.90695e+18  3.84617595163e+17  15.328  17.112   0.071  64.04      AB 
 56860.672  sdssr  4.28593e+18  2.90919230015e+17  19.892  17.460   0.074  64.04      AB 
 56886.641  sdssr   3.2926e+18  2.77664586212e+17  31.086  17.746   0.092  64.04      AB 
