# wave flux err sens
# flam = flux / sens x 1e-17 erg/s/cm2/A
 5.82012e+03  1.88733e-04   3.89810e-03  8.56782e-01
 5.86034e+03 -1.00651e-03   3.92141e-03  9.16813e-01
 5.90058e+03 -5.25324e-03   4.00000e-03  9.74809e-01
 5.94081e+03 -6.89827e-03   4.04458e-03  1.03143e+00
 5.98106e+03 -7.74792e-03   4.04113e-03  1.08731e+00
 6.02131e+03 -6.14487e-03   4.10274e-03  1.14238e+00
 6.06157e+03 -4.37804e-03   3.97261e-03  1.19658e+00
 6.10184e+03  7.57210e-04   3.95780e-03  1.25001e+00
 6.14211e+03  8.39791e-04   4.04761e-03  1.30197e+00
 6.18239e+03  2.23453e-04   3.98303e-03  1.35252e+00
 6.22268e+03  1.94217e-03   4.19378e-03  1.40149e+00
 6.26297e+03  4.54176e-03   4.36713e-03  1.44954e+00
 6.30328e+03  1.24550e-03   4.16308e-03  1.49757e+00
 6.34359e+03 -2.11266e-04   4.06791e-03  1.54494e+00
 6.38390e+03  1.29970e-03   4.08900e-03  1.59146e+00
 6.42423e+03  1.79306e-03   4.30120e-03  1.63664e+00
 6.46456e+03  3.30553e-03   4.03297e-03  1.67915e+00
 6.50490e+03  2.01133e-03   4.23751e-03  1.72198e+00
 6.54524e+03  1.23493e-03   4.23501e-03  1.76801e+00
 6.58559e+03  4.60334e-03   4.11209e-03  1.81573e+00
 6.62595e+03  9.71438e-03   4.08480e-03  1.86201e+00
 6.66632e+03  8.28529e-03   4.06576e-03  1.90339e+00
 6.70669e+03  1.17885e-02   4.12537e-03  1.94034e+00
 6.74707e+03  1.24817e-02   4.16884e-03  1.97648e+00
 6.78746e+03  1.49968e-02   4.15058e-03  2.01299e+00
 6.82785e+03  1.79237e-02   4.24769e-03  2.04852e+00
 6.86826e+03  1.66159e-02   4.19831e-03  2.08207e+00
 6.90867e+03  1.77558e-02   4.11480e-03  2.11346e+00
 6.94908e+03  2.11668e-02   4.09108e-03  2.14280e+00
 6.98950e+03  1.96519e-02   3.99737e-03  2.17028e+00
 7.02994e+03  2.43939e-02   4.03671e-03  2.19641e+00
 7.07037e+03  2.86917e-02   3.99655e-03  2.22040e+00
 7.11082e+03  2.70093e-02   3.96129e-03  2.24170e+00
 7.15127e+03  2.64439e-02   3.98261e-03  2.26024e+00
 7.19173e+03  2.36190e-02   3.97445e-03  2.27503e+00
 7.23219e+03  2.33466e-02   4.03941e-03  2.28798e+00
 7.27267e+03  2.48923e-02   3.98861e-03  2.30088e+00
 7.31315e+03  2.88983e-02   4.06016e-03  2.31336e+00
 7.35363e+03  2.65675e-02   4.09808e-03  2.32621e+00
 7.39413e+03  2.40709e-02   4.08747e-03  2.33740e+00
 7.43463e+03  2.25484e-02   4.02138e-03  2.34497e+00
 7.47514e+03  1.97241e-02   3.97080e-03  2.34965e+00
 7.51566e+03  2.56445e-02   4.02799e-03  2.35136e+00
 7.55618e+03  2.11558e-02   4.05162e-03  2.35160e+00
 7.59671e+03  1.50264e-02   4.09464e-03  2.35082e+00
 7.63725e+03  1.75375e-02   3.98518e-03  2.34740e+00
 7.67779e+03  1.92023e-02   4.14440e-03  2.34159e+00
 7.71834e+03  2.61109e-02   3.98342e-03  2.33374e+00
 7.75890e+03  2.36711e-02   3.99969e-03  2.32227e+00
